product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Product 1,SKU378815,Clothing,3539.46,2512.04,374,38,Product 1 high quality clothing item
Product 2,SKU760769,Electronics,2447.75,2067.72,377,11,Product 2 high quality electronics item
Product 3,SKU640864,Clothing,1087.25,819.5,171,35,Product 3 high quality clothing item
Product 4,SKU269553,Home,1231.86,893.86,461,39,Product 4 high quality home item
Product 5,SKU069751,Sports,307.44,227.68,213,34,Product 5 high quality sports item
Product 6,SKU126306,Home,739.24,540.88,318,19,Product 6 high quality home item
Product 7,SKU646117,Sports,2840.27,2338.77,73,27,Product 7 high quality sports item
Product 8,SKU529596,Beauty,4505.42,3684.84,140,37,Product 8 high quality beauty item
Product 9,SKU229159,Beauty,3767.94,2434.65,160,43,Product 9 high quality beauty item
Product 10,SKU117110,Grocery,2171.47,1643.68,427,35,Product 10 high quality grocery item
Product 11,SKU137796,Grocery,4605.36,2949.2,417,12,Product 11 high quality grocery item
Product 12,SKU668962,Clothing,2903.03,2334.92,273,42,Product 12 high quality clothing item
Product 13,SKU321269,Grocery,2362.11,1933.29,499,22,Product 13 high quality grocery item
Product 14,SKU981076,Grocery,3128.39,2658.07,51,34,Product 14 high quality grocery item
Product 15,SKU572960,Clothing,1799.22,1503.63,146,23,Product 15 high quality clothing item
Product 16,SKU470396,Home,4734.06,3630.92,153,18,Product 16 high quality home item
Product 17,SKU615919,Home,3105.32,1927.39,108,49,Product 17 high quality home item
Product 18,SKU821359,Home,1326.5,1075.01,487,42,Product 18 high quality home item
Product 19,SKU906118,Beauty,3962.91,3189.54,479,14,Product 19 high quality beauty item
Product 20,SKU052628,Grocery,1319.16,806.26,395,41,Product 20 high quality grocery item
Product 21,SKU059459,Clothing,902.2,544.3,477,41,Product 21 high quality clothing item
Product 22,SKU563456,Clothing,327.07,224.48,172,27,Product 22 high quality clothing item
Product 23,SKU035505,Beauty,4278.27,3555.98,145,13,Product 23 high quality beauty item
Product 24,SKU971407,Clothing,1648.29,1287.87,29,34,Product 24 high quality clothing item
Product 25,SKU910504,Beauty,315.29,232.37,162,20,Product 25 high quality beauty item
Product 26,SKU382352,Home,1920.2,1419.09,213,45,Product 26 high quality home item
Product 27,SKU462431,Grocery,1913.61,1555.24,243,12,Product 27 high quality grocery item
Product 28,SKU841294,Sports,508.33,332.46,460,46,Product 28 high quality sports item
Product 29,SKU190587,Clothing,3814.4,2449.86,187,34,Product 29 high quality clothing item
Product 30,SKU524888,Sports,1859.74,1369.85,9,50,Product 30 high quality sports item
