product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Sample Product 1,SKU-0001,Manufacturing,101,71,51,10,Demo product number 1
Sample Product 2,SKU-0002,Manufacturing,102,72,52,10,Demo product number 2
Sample Product 3,SKU-0003,Manufacturing,103,73,53,10,Demo product number 3
Sample Product 4,SKU-0004,Manufacturing,104,74,54,10,Demo product number 4
Sample Product 5,SKU-0005,Manufacturing,105,75,55,10,Demo product number 5
Sample Product 6,SKU-0006,Manufacturing,106,76,56,10,Demo product number 6
Sample Product 7,SKU-0007,Manufacturing,107,77,57,10,Demo product number 7
Sample Product 8,SKU-0008,Manufacturing,108,78,58,10,Demo product number 8
Sample Product 9,SKU-0009,Manufacturing,109,79,59,10,Demo product number 9
Sample Product 10,SKU-0010,Manufacturing,110,80,60,10,Demo product number 10
Sample Product 11,SKU-0011,Manufacturing,111,81,61,10,Demo product number 11
Sample Product 12,SKU-0012,Manufacturing,112,82,62,10,Demo product number 12
Sample Product 13,SKU-0013,Manufacturing,113,83,63,10,Demo product number 13
Sample Product 14,SKU-0014,Manufacturing,114,84,64,10,Demo product number 14
Sample Product 15,SKU-0015,Manufacturing,115,85,65,10,Demo product number 15
Sample Product 16,SKU-0016,Manufacturing,116,86,66,10,Demo product number 16
Sample Product 17,SKU-0017,Manufacturing,117,87,67,10,Demo product number 17
Sample Product 18,SKU-0018,Manufacturing,118,88,68,10,Demo product number 18
Sample Product 19,SKU-0019,Manufacturing,119,89,69,10,Demo product number 19
Sample Product 20,SKU-0020,Manufacturing,120,90,50,10,Demo product number 20
Sample Product 21,SKU-0021,Manufacturing,121,91,51,10,Demo product number 21
Sample Product 22,SKU-0022,Manufacturing,122,92,52,10,Demo product number 22
Sample Product 23,SKU-0023,Manufacturing,123,93,53,10,Demo product number 23
Sample Product 24,SKU-0024,Manufacturing,124,94,54,10,Demo product number 24
Sample Product 25,SKU-0025,Manufacturing,125,95,55,10,Demo product number 25
Sample Product 26,SKU-0026,Manufacturing,126,96,56,10,Demo product number 26
Sample Product 27,SKU-0027,Manufacturing,127,97,57,10,Demo product number 27
Sample Product 28,SKU-0028,Manufacturing,128,98,58,10,Demo product number 28
Sample Product 29,SKU-0029,Manufacturing,129,99,59,10,Demo product number 29
Sample Product 30,SKU-0030,Manufacturing,130,100,60,10,Demo product number 30
Sample Product 31,SKU-0031,Manufacturing,131,101,61,10,Demo product number 31
Sample Product 32,SKU-0032,Manufacturing,132,102,62,10,Demo product number 32
Sample Product 33,SKU-0033,Manufacturing,133,103,63,10,Demo product number 33
Sample Product 34,SKU-0034,Manufacturing,134,104,64,10,Demo product number 34
Sample Product 35,SKU-0035,Manufacturing,135,105,65,10,Demo product number 35
Sample Product 36,SKU-0036,Manufacturing,136,106,66,10,Demo product number 36
Sample Product 37,SKU-0037,Manufacturing,137,107,67,10,Demo product number 37
Sample Product 38,SKU-0038,Manufacturing,138,108,68,10,Demo product number 38
Sample Product 39,SKU-0039,Manufacturing,139,109,69,10,Demo product number 39
Sample Product 40,SKU-0040,Manufacturing,140,110,50,10,Demo product number 40
Sample Product 41,SKU-0041,Manufacturing,141,111,51,10,Demo product number 41
Sample Product 42,SKU-0042,Manufacturing,142,112,52,10,Demo product number 42
Sample Product 43,SKU-0043,Manufacturing,143,113,53,10,Demo product number 43
